,Diag: ADHD-Combined Type,Diag: ADHD-Inattentive Type,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Social Anxiety (Social Phobia),Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Phobia
50,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
49,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
48,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
47,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
46,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
45,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.0001,1.0","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
44,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
43,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
42,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
41,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
40,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
39,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
38,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
37,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
36,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
35,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
34,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
33,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
32,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
31,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
30,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
29,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
28,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
27,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
26,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
25,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
24,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
23,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
22,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
21,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
20,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
19,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
18,"0.767,0.7744","0.721,0.6009","0.6265,0.676","0.7133,0.6235","0.7092,0.5635","0.6867,0.4451","0.5649,0.5639","0.4432,0.6888","0.44,0.6606","0.4599,0.5967","0.5806,0.493","0.4022,0.6002"
17,"0.767,0.7744","0.7174,0.6009","0.6265,0.6872","0.7133,0.6235","0.7092,0.5635","0.6867,0.4462","0.5649,0.5652","0.4432,0.6888","0.44,0.6606","0.4745,0.5788","0.5753,0.4854","0.3913,0.6082"
16,"0.767,0.7744","0.6884,0.6409","0.6144,0.6906","0.7133,0.6235","0.7092,0.5635","0.6747,0.4697","0.5649,0.5603","0.0001,1.0","0.44,0.6606","0.5839,0.5286","0.5806,0.4816","0.3805,0.6104"
15,"0.767,0.7744","0.6993,0.6323","0.6144,0.6895","0.7133,0.6235","0.7092,0.5635","0.6506,0.4809","0.5649,0.5603","0.4432,0.6888","0.44,0.6606","0.5401,0.5573","0.586,0.4639","0.3805,0.6104"
14,"0.767,0.7744","0.7427,0.5851","0.6024,0.6984","0.7133,0.6235","0.7092,0.5635","0.5542,0.5886","0.5779,0.5432","0.4432,0.6888","0.44,0.6606","0.5328,0.5549","0.5753,0.4956","0.4022,0.6115"
13,"0.767,0.7744","0.7717,0.5565","0.6144,0.6861","0.7133,0.6235","0.6879,0.5779","0.5662,0.5717","0.513,0.6407","0.4432,0.6888","0.44,0.6606","0.4818,0.5847","0.5753,0.4905","0.3805,0.6149"
12,"0.767,0.7744","0.7319,0.5994","0.6144,0.6939","0.7197,0.621","0.6879,0.5851","0.5903,0.5493","0.4481,0.7004","0.4432,0.6888","0.44,0.6606","0.562,0.531","0.5484,0.5222","0.3805,0.6172"
11,"0.767,0.7744","0.8079,0.525","0.6144,0.7007","0.7261,0.6149","0.695,0.5731","0.5783,0.5594","0.4546,0.7016","0.4432,0.6888","0.44,0.6606","0.562,0.5561","0.5645,0.4981","0.4131,0.6161"
10,"0.767,0.7744","0.7645,0.5637","0.6506,0.676","0.707,0.6369","0.6879,0.5767","0.6385,0.5112","0.4416,0.7186","0.4432,0.6888","0.44,0.6606","0.4818,0.599","0.5269,0.564","0.5761,0.4168"
9,"0.767,0.7744","0.7246,0.6209","0.6747,0.6569","0.7579,0.5831","0.7163,0.5456","0.6506,0.5258","0.3961,0.7332","0.4432,0.6888","0.44,0.6606","0.5036,0.6062","0.5484,0.5488","0.5326,0.4258"
8,"0.767,0.7744","0.7138,0.5894","0.5301,0.7478","0.777,0.5538","0.5957,0.6487","0.6024,0.5448","0.6169,0.5347","0.4432,0.6888","0.44,0.6606","0.5401,0.5489","0.5591,0.5653","0.5761,0.4043"
7,"0.7778,0.7658","0.7174,0.5923","0.5181,0.7556","0.6688,0.6736","0.617,0.6391","0.6144,0.565","0.5974,0.5627","0.4432,0.6888","0.44,0.6606","0.5474,0.58","0.5806,0.5602","0.3805,0.6636"
6,"0.7778,0.7672","0.7391,0.5536","0.6506,0.6547","0.7961,0.5318","0.7021,0.5504","0.5783,0.583","0.6104,0.581","0.4432,0.6888","0.46,0.6446","0.5328,0.5967","0.586,0.5247","0.5652,0.4813"
5,"0.8423,0.6624","0.7572,0.5451","0.6867,0.6491","0.7898,0.5391","0.6808,0.5671","0.5181,0.639","0.6623,0.5396","0.4432,0.6888","0.44,0.6183","0.5401,0.5895","0.6075,0.4968","0.5326,0.487"
4,"0.7993,0.704","0.7065,0.6009","0.6626,0.6614","0.7516,0.5623","0.695,0.5731","0.6385,0.5101","0.6623,0.5725","0.4432,0.6888","0.33,0.7634","0.5547,0.6325","0.6559,0.4994","0.4348,0.564"
3,"0.8208,0.694","0.7464,0.568","0.7469,0.5852","0.7197,0.621","0.5745,0.6547","0.5783,0.5628","0.5519,0.6382","0.4432,0.6888","0.33,0.7634","0.5693,0.599","0.6828,0.493","0.4348,0.5402"
2,"0.7598,0.7486","0.8007,0.4936","0.6265,0.6603","0.7133,0.6161","0.6879,0.5743","0.7108,0.4249","0.5909,0.6285","0.4432,0.6888","0.63,0.464","0.5693,0.5776","0.7043,0.4499","0.5217,0.4881"
1,"0.8208,0.6681","0.8442,0.4421","0.6506,0.6603","0.7579,0.5782","0.4894,0.6379","0.6385,0.5572","0.526,0.5018","0.4432,0.6888","0.61,0.4766","0.6204,0.4105","0.5968,0.4613","0.5217,0.4462"
