,New Diag: Specific Learning Disorder with Impairment in Reading,New Diag: Specific Learning Disorder with Impairment in Mathematics,New Diag: Borderline Intellectual Functioning
1,"[0.773542926942764, 0.8214, 0.6417]","[0.6687185557857356, 0.688, 0.5452]","[0.7710971991025548, 0.6707, 0.7389]"
2,"[0.7722487203350394, 0.8214, 0.6449]","[0.6669872743415212, 0.688, 0.5452]","[0.7710971991025548, 0.6707, 0.7389]"
3,"[0.7763494648673802, 0.8303, 0.6449]","[0.7091003255401007, 0.7156, 0.6419]","[0.8100166461605268, 0.6463, 0.7685]"
4,"[0.7818171242438344, 0.7589, 0.6515]","[0.7104172832198876, 0.7156, 0.6452]","[0.8363971918650936, 0.817, 0.6884]"
5,"[0.8098679618427176, 0.7767, 0.7296]","[0.7104172832198876, 0.7156, 0.6452]","[0.8478504740537021, 0.8292, 0.7003]"
6,"[0.8098679618427176, 0.7767, 0.7296]","[0.7324504291210416, 0.7706, 0.5323]","[0.844593616559311, 0.817, 0.7329]"
7,"[0.8098679618427176, 0.7767, 0.7296]","[0.7456052086416101, 0.7614, 0.5839]","[0.8445212419483245, 0.817, 0.7329]"
8,"[0.810871335504886, 0.8035, 0.6873]","[0.7414915655519385, 0.7706, 0.5581]","[0.8413910400231599, 0.8048, 0.7359]"
9,"[0.810871335504886, 0.8035, 0.6873]","[0.751879254217224, 0.7339, 0.6419]","[0.8378808713903163, 0.7682, 0.7478]"
10,"[0.8348795951605397, 0.7589, 0.7687]","[0.7518496596626222, 0.7339, 0.6419]","[0.8380799015705291, 0.7682, 0.7478]"
11,"[0.8358684271754304, 0.8124, 0.7492]","[0.7526783071914769, 0.7889, 0.5581]","[0.8425309401461968, 0.8048, 0.7092]"
12,"[0.8375697999069335, 0.7767, 0.7817]","[0.768970109499852, 0.7522, 0.5645]","[0.8515415792140117, 0.7804, 0.7626]"
13,"[0.8368718008375989, 0.8392, 0.7003]","[0.774607872151524, 0.7614, 0.5839]","[0.8549250922776289, 0.8048, 0.7507]"
14,"[0.8387040483946021, 0.7321, 0.8143]","[0.7758804379994082, 0.7522, 0.5839]","[0.8549250922776289, 0.8048, 0.7507]"
15,"[0.8405653792461611, 0.7589, 0.8013]","[0.7808523231725363, 0.7339, 0.6419]","[0.8590866324093508, 0.7195, 0.8101]"
16,"[0.8448406235458353, 0.7589, 0.8111]","[0.7905593370819768, 0.7798, 0.6419]","[0.8605341246290801, 0.7804, 0.7834]"
17,"[0.8445497906002791, 0.8482, 0.7166]","[0.7897602841077243, 0.7889, 0.6161]","[0.8618006803213433, 0.817, 0.7685]"
18,"[0.8445788738948349, 0.8482, 0.7166]","[0.7877774489493934, 0.7889, 0.6129]","[0.8624158645147282, 0.8048, 0.7893]"
19,"[0.844637040483946, 0.8124, 0.7655]","[0.7877774489493933, 0.7889, 0.6129]","[0.8629224867916335, 0.7926, 0.7982]"
20,"[0.8453350395532807, 0.7767, 0.8078]","[0.7877774489493934, 0.7889, 0.6129]","[0.8621625533762756, 0.7926, 0.7774]"
21,"[0.8480397859469521, 0.7767, 0.8208]","[0.789227582124889, 0.7981, 0.6419]","[0.8593761308532966, 0.7926, 0.7567]"
22,"[0.8487377850162866, 0.7678, 0.8241]","[0.7888724474696657, 0.7981, 0.6452]","[0.8596294419917493, 0.7926, 0.7626]"
23,"[0.8494357840856213, 0.741, 0.8176]","[0.7883397454868305, 0.6697, 0.7774]","[0.859593254686256, 0.7926, 0.7626]"
24,"[0.8497847836202884, 0.741, 0.8208]","[0.7886060964782481, 0.6697, 0.7742]","[0.8597018166027357, 0.7926, 0.7626]"
25,"[0.8514425314099582, 0.7589, 0.8241]","[0.78984906777153, 0.6697, 0.7677]","[0.8609321849895056, 0.7926, 0.7685]"
26,"[0.8487668683108422, 0.8124, 0.7655]","[0.7822432672388281, 0.7706, 0.6355]","[0.86176449301585, 0.7926, 0.7656]"
27,"[0.8487377850162867, 0.8124, 0.7655]","[0.7828647528854691, 0.7614, 0.6581]","[0.860823623073026, 0.7926, 0.7685]"
28,"[0.8487377850162867, 0.8124, 0.7655]","[0.7855578573542468, 0.7522, 0.6516]","[0.8566258956358109, 0.7926, 0.7596]"
29,"[0.8512098650535131, 0.7857, 0.8143]","[0.7857058301272567, 0.7522, 0.6516]","[0.8578200767170877, 0.8048, 0.7389]"
30,"[0.8512098650535131, 0.7857, 0.8143]","[0.7863569103284995, 0.6147, 0.7935]","[0.8574582036621553, 0.8292, 0.7329]"
31,"[0.8537401116798511, 0.7678, 0.8013]","[0.7875998816217816, 0.8715, 0.5]","[0.8577838894115944, 0.8292, 0.724]"
32,"[0.8539727780362959, 0.7857, 0.8013]","[0.7851731281444215, 0.8531, 0.4871]","[0.8590504451038575, 0.8292, 0.7359]"
33,"[0.8521696137738483, 0.7946, 0.8045]","[0.7801716484166914, 0.8531, 0.5129]","[0.8581457624665269, 0.8048, 0.7389]"
34,"[0.8519369474174036, 0.741, 0.8501]","[0.779757324652264, 0.8073, 0.5742]","[0.8536223492798727, 0.7682, 0.7685]"
35,"[0.8519369474174036, 0.741, 0.8501]","[0.7791062444510211, 0.7889, 0.6]","[0.8546355938336831, 0.7926, 0.7448]"
36,"[0.84937761749651, 0.7767, 0.8176]","[0.7789286771234094, 0.7431, 0.6322]","[0.8544908446117102, 0.7926, 0.7448]"
37,"[0.84937761749651, 0.7767, 0.8176]","[0.7821544835750223, 0.7339, 0.6548]","[0.853839473112832, 0.7682, 0.7745]"
38,"[0.84937761749651, 0.7767, 0.8176]","[0.7829535365492748, 0.7889, 0.6064]","[0.8534414127524065, 0.7682, 0.7745]"
39,"[0.8494357840856211, 0.7767, 0.8208]","[0.7864456939923054, 0.7339, 0.671]","[0.8535137873633929, 0.7682, 0.7715]"
40,"[0.8494648673801768, 0.7767, 0.8208]","[0.7864160994377034, 0.7431, 0.6645]","[0.8534414127524065, 0.7682, 0.7715]"
41,"[0.8494357840856213, 0.7767, 0.8208]","[0.7859425865640723, 0.7431, 0.6581]","[0.8541651588622711, 0.7804, 0.7715]"
42,"[0.8505409492787344, 0.7946, 0.8176]","[0.7834862385321102, 0.8073, 0.5548]","[0.8484475645943402, 0.7682, 0.7952]"
43,"[0.8505118659841787, 0.7946, 0.8176]","[0.7836342113051199, 0.8531, 0.5387]","[0.8484475645943403, 0.7804, 0.7537]"
44,"[0.8505409492787344, 0.7946, 0.8176]","[0.7825096182302457, 0.8256, 0.5516]","[0.8482666280668741, 0.7682, 0.7952]"
45,"[0.8505118659841787, 0.7946, 0.8176]","[0.7930156851139389, 0.8348, 0.5613]","[0.8484837518998335, 0.7682, 0.7952]"
46,"[0.8503664495114006, 0.75, 0.8306]","[0.7862681266646937, 0.7981, 0.6193]","[0.8464572627922125, 0.7926, 0.7151]"
47,"[0.8503664495114006, 0.75, 0.8306]","[0.7833382657591003, 0.7889, 0.6193]","[0.8484475645943402, 0.7317, 0.7893]"
48,"[0.8508317822242903, 0.7857, 0.8339]","[0.7833382657591004, 0.7889, 0.6193]","[0.8485923138163133, 0.7317, 0.7893]"
49,"[0.8508026989297348, 0.7857, 0.8241]","[0.7819473216928086, 0.7981, 0.5935]","[0.8481942534558876, 0.7317, 0.7893]"
50,"[0.84745812005584, 0.7857, 0.8013]","[0.7825688073394496, 0.7981, 0.5774]","[0.8482666280668741, 0.7317, 0.7893]"
